Distrito;Paro registrado;Mes;Año
Chamberí;7.781;julio;2012
Fuencarral - El Pardo;13.381;julio;2012
Moncloa-Aravaca;6.079;julio;2012
Latina;19.560;julio;2012
Carabanchel;21.917;julio;2012
Usera;12.742;julio;2012
Puente de Vallecas;24.783;julio;2012
Moratalaz;8.113;julio;2012
Ciudad Lineal;15.493;julio;2012
Hortaleza;10.816;julio;2012
Villaverde;15.120;julio;2012
Villa de Vallecas;9.979;julio;2012
Vicálvaro;6.824;julio;2012
San Blas;11.924;julio;2012
Barajas;2.617;julio;2012
Centro;11.535;abril;2012
Arganzuela;10.611;abril;2012
Retiro;6.476;abril;2012
Salamanca;7.437;abril;2012
Chamartin;6.761;abril;2012
Tetuán;12.274;abril;2012
Chamberí;7.703;abril;2012
Fuencarral - El Pardo;13.439;abril;2012
Moncloa-Aravaca;6.127;abril;2012
Latina;19.722;abril;2012
Carabanchel;22.300;abril;2012
Usera;13.359;abril;2012
Puente de Vallecas;25.988;abril;2012
Moratalaz;8.245;abril;2012
Ciudad Lineal;15.610;abril;2012
Hortaleza;10.688;abril;2012
Villaverde;15.427;abril;2012
Villa de Vallecas;10.033;abril;2012
Vicálvaro;6.909;abril;2012
San Blas;11.989;abril;2012
Barajas;2.635;abril;2012
Centro;11.294;enero;2012
Arganzuela;10.442;enero;2012
Retiro;6.242;enero;2012
Salamanca;7.211;enero;2012
Chamartin;6.543;enero;2012
Tetuán;11.745;enero;2012
Chamberí;7.523;enero;2012
Fuencarral-El Pardo;12.857;enero;2012
Moncloa-Aravaca;5.834;enero;2012
Latina;19.111;enero;2012
Carabanchel;21.678;enero;2012
Usera;12.758;enero;2012
Puente de Vallecas;24.497;enero;2012
Moratalaz;7.776;enero;2012
Ciudad Lineal;15.033;enero;2012
Hortaleza;9.991;enero;2012
Villaverde;14.902;enero;2012
Villa de Vallecas;9.454;enero;2012
Vicálvaro;6.584;enero;2012
San Blas;11.618;enero;2012
Barajas;2.498;enero;2012
Centro;11.899;octubre;2012
Arganzuela;11.267;octubre;2012
Retiro;6.645;octubre;2012
Salamanca;7.739;octubre;2012
Chamartin;7.037;octubre;2012
Tetuán;12.404;octubre;2012
Chamberí;8.068;octubre;2012
Fuencarral - El Pardo;13.717;octubre;2012
Moncloa-Aravaca;6.426;octubre;2012
Latina;20.434;octubre;2012
Carabanchel;23.124;octubre;2012
Usera;13.564;octubre;2012
Puente de Vallecas;25.976;octubre;2012
Moratalaz;8.648;octubre;2012
Ciudad Lineal;16.150;octubre;2012
Hortaleza;11.134;octubre;2012
Villaverde;15.961;octubre;2012
Villa de Vallecas;10.512;octubre;2012
Vicálvaro;7.149;octubre;2012
San Blas;12.517;octubre;2012
Barajas;2.689;octubre;2012
