col_0;col_1;col_2;Total Total;Total Españoles;Total Extranjeros;Hombres Total;Hombres Españoles;Hombres Extranjeros;Mujeres Total;Mujeres Españoles;Mujeres Extranjeros;Año;Mes
CIUDAD LINEAL;Total;;224453.0;;;;;;;;;2011;7
HORTALEZA;Total;;175202.0;;;;;;;;;2011;7
VILLAVERDE;Total;;147835.0;;;;;;;;;2011;7
VILLA DE VALLECAS;Total;;93918.0;;;;;;;;;2011;7
VICÁLVARO;Total;;70744.0;;;;;;;;;2011;7
SAN BLAS-CANILLEJAS;Total;;156747.0;;;;;;;;;2011;7
BARAJAS;Total;;46235.0;;;;;;;;;2011;7
CENTRO;Total;;141008.0;;;;;;;;;2011;8
ARGANZUELA;Total;;154482.0;;;;;;;;;2011;8
RETIRO;Total;;121647.0;;;;;;;;;2011;8
SALAMANCA;Total;;146665.0;;;;;;;;;2011;8
CHAMARTÍN;Total;;145756.0;;;;;;;;;2011;8
TETUÁN;Total;;156205.0;;;;;;;;;2011;8
CHAMBERÍ;Total;;142177.0;;;;;;;;;2011;8
FUENCARRAL - EL PARDO;Total;;233169.0;;;;;;;;;2011;8
MONCLOA - ARAVACA;Total;;117676.0;;;;;;;;;2011;8
LATINA;Total;;248782.0;;;;;;;;;2011;8
CARABANCHEL;Total;;252741.0;;;;;;;;;2011;8
USERA;Total;;139351.0;;;;;;;;;2011;8
PUENTE DE VALLECAS;Total;;239930.0;;;;;;;;;2011;8
MORATALAZ;Total;;100478.0;;;;;;;;;2011;8
CIUDAD LINEAL;Total;;224447.0;;;;;;;;;2011;8
HORTALEZA;Total;;175473.0;;;;;;;;;2011;8
VILLAVERDE;Total;;147903.0;;;;;;;;;2011;8
VILLA DE VALLECAS;Total;;94218.0;;;;;;;;;2011;8
VICÁLVARO;Total;;70921.0;;;;;;;;;2011;8
SAN BLAS-CANILLEJAS;Total;;156793.0;;;;;;;;;2011;8
BARAJAS;Total;;46294.0;;;;;;;;;2011;8
CENTRO;Total;;141314.0;;;;;;;;;2011;9
ARGANZUELA;Total;;154668.0;;;;;;;;;2011;9
RETIRO;Total;;121776.0;;;;;;;;;2011;9
SALAMANCA;Total;;147005.0;;;;;;;;;2011;9
CHAMARTÍN;Total;;145967.0;;;;;;;;;2011;9
TETUÁN;Total;;156570.0;;;;;;;;;2011;9
CHAMBERÍ;Total;;142288.0;;;;;;;;;2011;9
FUENCARRAL - EL PARDO;Total;;233684.0;;;;;;;;;2011;9
MONCLOA - ARAVACA;Total;;117896.0;;;;;;;;;2011;9
LATINA;Total;;248721.0;;;;;;;;;2011;9
CARABANCHEL;Total;;252797.0;;;;;;;;;2011;9
USERA;Total;;139293.0;;;;;;;;;2011;9
PUENTE DE VALLECAS;Total;;240073.0;;;;;;;;;2011;9
MORATALAZ;Total;;100459.0;;;;;;;;;2011;9
CIUDAD LINEAL;Total;;224428.0;;;;;;;;;2011;9
HORTALEZA;Total;;175801.0;;;;;;;;;2011;9
VILLAVERDE;Total;;147874.0;;;;;;;;;2011;9
VILLA DE VALLECAS;Total;;94646.0;;;;;;;;;2011;9
VICÁLVARO;Total;;71062.0;;;;;;;;;2011;9
SAN BLAS-CANILLEJAS;Total;;156895.0;;;;;;;;;2011;9
BARAJAS;Total;;46348.0;;;;;;;;;2011;9
CENTRO;Total;;140861.0;;;;;;;;;2011;10
ARGANZUELA;Total;;154414.0;;;;;;;;;2011;10
RETIRO;Total;;121628.0;;;;;;;;;2011;10
SALAMANCA;Total;;146825.0;;;;;;;;;2011;10
CHAMARTÍN;Total;;145837.0;;;;;;;;;2011;10
TETUÁN;Total;;156341.0;;;;;;;;;2011;10
CHAMBERÍ;Total;;142162.0;;;;;;;;;2011;10
FUENCARRAL - EL PARDO;Total;;233515.0;;;;;;;;;2011;10
MONCLOA - ARAVACA;Total;;117671.0;;;;;;;;;2011;10
LATINA;Total;;248047.0;;;;;;;;;2011;10
CARABANCHEL;Total;;251982.0;;;;;;;;;2011;10
USERA;Total;;138855.0;;;;;;;;;2011;10
PUENTE DE VALLECAS;Total;;238874.0;;;;;;;;;2011;10
MORATALAZ;Total;;100209.0;;;;;;;;;2011;10
CIUDAD LINEAL;Total;;223576.0;;;;;;;;;2011;10
HORTALEZA;Total;;175468.0;;;;;;;;;2011;10
VILLAVERDE;Total;;147188.0;;;;;;;;;2011;10
VILLA DE VALLECAS;Total;;94793.0;;;;;;;;;2011;10
VICÁLVARO;Total;;70971.0;;;;;;;;;2011;10
SAN BLAS-CANILLEJAS;Total;;156512.0;;;;;;;;;2011;10
BARAJAS;Total;;46292.0;;;;;;;;;2011;10
CENTRO;Total;;140755.0;;;;;;;;;2011;11
ARGANZUELA;Total;;154452.0;;;;;;;;;2011;11
RETIRO;Total;;121614.0;;;;;;;;;2011;11
SALAMANCA;Total;;146746.0;;;;;;;;;2011;11
CHAMARTÍN;Total;;145700.0;;;;;;;;;2011;11
TETUÁN;Total;;156508.0;;;;;;;;;2011;11
CHAMBERÍ;Total;;142101.0;;;;;;;;;2011;11
FUENCARRAL - EL PARDO;Total;;233410.0;;;;;;;;;2011;11
MONCLOA - ARAVACA;Total;;117576.0;;;;;;;;;2011;11
LATINA;Total;;247778.0;;;;;;;;;2011;11
CARABANCHEL;Total;;251923.0;;;;;;;;;2011;11
USERA;Total;;138750.0;;;;;;;;;2011;11
PUENTE DE VALLECAS;Total;;238703.0;;;;;;;;;2011;11
MORATALAZ;Total;;100197.0;;;;;;;;;2011;11
CIUDAD LINEAL;Total;;223388.0;;;;;;;;;2011;11
HORTALEZA;Total;;175415.0;;;;;;;;;2011;11
VILLAVERDE;Total;;147128.0;;;;;;;;;2011;11
VILLA DE VALLECAS;Total;;94989.0;;;;;;;;;2011;11
VICÁLVARO;Total;;71006.0;;;;;;;;;2011;11
SAN BLAS-CANILLEJAS;Total;;156543.0;;;;;;;;;2011;11
BARAJAS;Total;;46300.0;;;;;;;;;2011;11
CENTRO;Total;;140761.0;;;;;;;;;2011;12
ARGANZUELA;Total;;154431.0;;;;;;;;;2011;12
RETIRO;Total;;121548.0;;;;;;;;;2011;12
SALAMANCA;Total;;146660.0;;;;;;;;;2011;12
CHAMARTÍN;Total;;145719.0;;;;;;;;;2011;12
TETUÁN;Total;;156451.0;;;;;;;;;2011;12
CHAMBERÍ;Total;;142068.0;;;;;;;;;2011;12
FUENCARRAL - EL PARDO;Total;;233422.0;;;;;;;;;2011;12
MONCLOA - ARAVACA;Total;;117580.0;;;;;;;;;2011;12
LATINA;Total;;247426.0;;;;;;;;;2011;12
CARABANCHEL;Total;;251696.0;;;;;;;;;2011;12
USERA;Total;;138640.0;;;;;;;;;2011;12
PUENTE DE VALLECAS;Total;;238453.0;;;;;;;;;2011;12
MORATALAZ;Total;;100069.0;;;;;;;;;2011;12
CIUDAD LINEAL;Total;;223323.0;;;;;;;;;2011;12
HORTALEZA;Total;;175202.0;;;;;;;;;2011;12
VILLAVERDE;Total;;146958.0;;;;;;;;;2011;12
VILLA DE VALLECAS;Total;;95152.0;;;;;;;;;2011;12
VICÁLVARO;Total;;70925.0;;;;;;;;;2011;12
SAN BLAS-CANILLEJAS;Total;;156491.0;;;;;;;;;2011;12
BARAJAS;Total;;46321.0;;;;;;;;;2011;12
CENTRO;Total;;140930.0;;;;;;;;;2012;1
ARGANZUELA;Total;;154805.0;;;;;;;;;2012;1
RETIRO;Total;;121815.0;;;;;;;;;2012;1
SALAMANCA;Total;;146935.0;;;;;;;;;2012;1
CHAMARTÍN;Total;;146067.0;;;;;;;;;2012;1
TETUÁN;Total;;156798.0;;;;;;;;;2012;1
CHAMBERÍ;Total;;142268.0;;;;;;;;;2012;1
FUENCARRAL - EL PARDO;Total;;234019.0;;;;;;;;;2012;1
MONCLOA - ARAVACA;Total;;117698.0;;;;;;;;;2012;1
LATINA;Total;;247538.0;;;;;;;;;2012;1
CARABANCHEL;Total;;251949.0;;;;;;;;;2012;1
USERA;Total;;138591.0;;;;;;;;;2012;1
PUENTE DE VALLECAS;Total;;238667.0;;;;;;;;;2012;1
MORATALAZ;Total;;100084.0;;;;;;;;;2012;1
CIUDAD LINEAL;Total;;223449.0;;;;;;;;;2012;1
HORTALEZA;Total;;175435.0;;;;;;;;;2012;1
VILLAVERDE;Total;;146968.0;;;;;;;;;2012;1
VILLA DE VALLECAS;Total;;95620.0;;;;;;;;;2012;1
VICÁLVARO;Total;;70970.0;;;;;;;;;2012;1
SAN BLAS-CANILLEJAS;Total;;156706.0;;;;;;;;;2012;1
BARAJAS;Total;;46423.0;;;;;;;;;2012;1
CENTRO;Total;;141083.0;;;;;;;;;2012;2
ARGANZUELA;Total;;155056.0;;;;;;;;;2012;2
RETIRO;Total;;121839.0;;;;;;;;;2012;2
SALAMANCA;Total;;146984.0;;;;;;;;;2012;2
CHAMARTÍN;Total;;146182.0;;;;;;;;;2012;2
TETUÁN;Total;;156984.0;;;;;;;;;2012;2
CHAMBERÍ;Total;;142289.0;;;;;;;;;2012;2
FUENCARRAL - EL PARDO;Total;;234349.0;;;;;;;;;2012;2
MONCLOA - ARAVACA;Total;;117771.0;;;;;;;;;2012;2
LATINA;Total;;247450.0;;;;;;;;;2012;2
CARABANCHEL;Total;;252326.0;;;;;;;;;2012;2
USERA;Total;;138555.0;;;;;;;;;2012;2
PUENTE DE VALLECAS;Total;;238796.0;;;;;;;;;2012;2
MORATALAZ;Total;;99978.0;;;;;;;;;2012;2
CIUDAD LINEAL;Total;;223511.0;;;;;;;;;2012;2
HORTALEZA;Total;;175637.0;;;;;;;;;2012;2
VILLAVERDE;Total;;146957.0;;;;;;;;;2012;2
VILLA DE VALLECAS;Total;;95797.0;;;;;;;;;2012;2
VICÁLVARO;Total;;71019.0;;;;;;;;;2012;2
SAN BLAS-CANILLEJAS;Total;;156669.0;;;;;;;;;2012;2
BARAJAS;Total;;46432.0;;;;;;;;;2012;2
CENTRO;Total;;141147.0;;;;;;;;;2012;3
ARGANZUELA;Total;;155107.0;;;;;;;;;2012;3
RETIRO;Total;;121709.0;;;;;;;;;2012;3
SALAMANCA;Total;;147058.0;;;;;;;;;2012;3
CHAMARTÍN;Total;;146188.0;;;;;;;;;2012;3
TETUÁN;Total;;157148.0;;;;;;;;;2012;3
CHAMBERÍ;Total;;142244.0;;;;;;;;;2012;3
FUENCARRAL - EL PARDO;Total;;234526.0;;;;;;;;;2012;3
MONCLOA - ARAVACA;Total;;117760.0;;;;;;;;;2012;3
LATINA;Total;;247359.0;;;;;;;;;2012;3
CARABANCHEL;Total;;252166.0;;;;;;;;;2012;3
USERA;Total;;138608.0;;;;;;;;;2012;3
PUENTE DE VALLECAS;Total;;238615.0;;;;;;;;;2012;3
MORATALAZ;Total;;99945.0;;;;;;;;;2012;3
CIUDAD LINEAL;Total;;223454.0;;;;;;;;;2012;3
HORTALEZA;Total;;175779.0;;;;;;;;;2012;3
VILLAVERDE;Total;;147059.0;;;;;;;;;2012;3
VILLA DE VALLECAS;Total;;95964.0;;;;;;;;;2012;3
VICÁLVARO;Total;;71019.0;;;;;;;;;2012;3
SAN BLAS-CANILLEJAS;Total;;156605.0;;;;;;;;;2012;3
BARAJAS;Total;;46439.0;;;;;;;;;2012;3
CENTRO;Total;;141396.0;;;;;;;;;2012;4
ARGANZUELA;Total;;155309.0;;;;;;;;;2012;4
RETIRO;Total;;121838.0;;;;;;;;;2012;4
