"LOCATIONID";"LOCATIONNAME";"MUNICIPALITY";"PERIOD";"PRICE_SALE";"PRICE_RENT";"UNITPRICE_SALE";"UNITPRICE_RENT";"GROSS_YIELD";"GROSS_YIELD_MA12";"GROSS_YIELD_VOLATILITY";"VIEWS_PER_AD_SALE";"VIEWS_PER_AD_RENT";"LEADS_PER_AD_SALE";"LEADS_PER_AD_RENT";"NET_HOUSEHOLD_INCOME";"EFFORTRATE_SALE";"EFFORTRATE_RENT"
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201502;273011.253945095;851.07741940222;2721.73175295195;10.5600667485778;4.65588869459654;;;14.924522752631;50.9752086814363;0.0892518768445061;0.651606429126472;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201503;269682.796778887;864.682564650213;2701.00415331604;10.4288929587971;4.63334035795252;;;19.5376955121123;58.1803261069136;0.112431612854757;0.663149253225785;34513.9217322539;41.0256192353181;29.3691599671277
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201504;266675.946968873;867.9578773951;2676.35308417021;10.364759479479;4.64726102431699;;;10.0137908726532;30.0607295188034;0.0718407330033639;0.486783866204123;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201505;266227.148046592;854.403121573952;2665.96884841411;10.3572469329864;4.66198107565177;;;15.3496650663727;42.1731860213167;0.0937862659997362;0.548749323684517;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201506;267902.997447415;846.038476717778;2659.97121839099;10.2421340280208;4.62056158677519;;;12.5187136087208;40.0389486028132;0.0723952922954251;0.620918820647102;33481.7009538494;41.2938315250189;29.8089404568218
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201507;267668.619773591;841.755375436003;2644.38522972135;10.1797393462669;4.61948095845606;;;11.120996245157;35.6191520206121;0.0564918602405818;0.609052147550093;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201508;267947.813596761;853.193775329686;2633.16761975979;10.3588462874267;4.72078399097359;;;10.5044446826086;37.7124715363794;0.052222011608954;0.782504394998399;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201509;267348.679538927;861.91114617377;2626.96777417837;10.3687333306302;4.73644180909217;;;14.7688155147386;48.3129960361149;0.100873996555319;0.942282974055208;31765.2081095841;40.767966560404;31.585102876148
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201510;266247.643834805;892.900643683087;2617.55815651887;10.2019030321415;4.67698630041174;;;18.1004951162941;48.8650998455674;0.0846935281990883;0.749196172471556;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201511;268086.478881609;894.714663049486;2617.49818650437;10.3111987174351;4.72720039491091;;;16.6433712648086;45.1222224059388;0.0896886774163767;0.765284072958514;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201512;267283.46566734;907.009683199524;2612.47056364075;10.2797671081169;4.72186010492272;4.67216827403452;0.0415651760753426;13.4432739587292;38.5552382738153;0.0713016599164946;0.622728057682961;32429.9296917928;35.6483044028823;30.785215224364
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201601;266958.327936143;888.264816413401;2611.33183961209;10.3681322788708;4.7645261111254;4.68219270076547;0.047675716013305;18.3851030764341;58.2630401886886;0.0926785382623582;0.97650118678751;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201602;267035.762389742;888.515349841253;2629.66961336573;10.4587845259645;4.77266853880321;4.69192435444936;0.0529411641159693;17.2377773081351;67.6326067745854;0.105457333824609;1.2074450766037;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201603;267047.509192858;885.362431049668;2657.7602375872;10.5915470503676;4.78216818834625;4.70432667364883;0.0551507456493145;15.9685116771569;57.2981463172345;0.084222750954787;0.98513824031857;31895.747481611;34.9211820443271;32.0835920617822
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201604;267500.268211824;879.460894299024;2662.35429189937;10.6378794348351;4.79479961049625;4.71662155583044;0.0574558898793221;18.7250266109907;65.2856965851528;0.0917184398989412;1.14585205837089;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201605;267812.388567144;858.105155288668;2660.72046418226;10.6805749905265;4.81699981684128;4.7295397842629;0.0610340049216433;17.2869813887703;62.4166317062293;0.0955403545912123;1.07387051071986;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201606;266884.842364714;860.989392634808;2678.32239626492;10.9103968280772;4.88831225544427;4.75185233998532;0.0658660543858077;14.6514128299389;53.1680612917287;0.0773480688484046;0.966277778690037;31310.8488923269;34.2437643367291;33.4934490559477
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201607;261957.10628998;852.61390702417;2651.7890053446;10.8473436577782;4.90869083592204;4.77595316310749;0.0659330345261817;10.8678708947459;46.8585554443384;0.0582879376666888;0.958625741217916;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201608;263528.025659903;885.837603380355;2649.54475112303;10.855778379993;4.91666881658447;4.79227689857506;0.0740076944231798;10.4402966433648;51.5141443986828;0.0518667711913496;1.29082994258257;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201609;261311.100435447;890.088817948705;2659.12715427736;11.0747125449794;4.99775087197245;4.81405265381508;0.0908925466035396;16.7137567348791;69.3899174156201;0.100768642740135;1.77994376824422;29858.5941146195;35.2926839217638;35.8180162524524
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201610;263332.286444621;887.209586752522;2667.27613107859;11.508754501904;5.1777561540657;4.85578347495291;0.126403116391616;17.2282296846722;69.9916711550113;0.118223582879286;1.51310800953713;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201611;263656.9086108;883.77576445306;2687.19050953338;11.6761199642919;5.21412378744347;4.89636042433062;0.153798916130569;19.2833765247621;70.8953344417554;0.116989757777563;1.52769936758193;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201612;265737.232545466;879.042382712487;2688.62455498442;11.514514512109;5.13921417139288;4.93113992986981;0.15754932882469;20.3757892845739;71.1836690550474;0.109606364393125;1.42881860420824;30276.96250945;33.4086769654367;37.3186425753247
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201701;267130.639400607;912.42282143809;2698.06108322811;11.6508997810823;5.1818988918409;4.96592099492943;0.162907109198639;20.6442313915004;73.3963236289405;0.128864428117765;1.43486138823004;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201702;269029.744043218;926.196235966676;2701.89998069709;11.6490860718925;5.17373085093417;4.99934285427368;0.160960370640068;24.1556042743222;68.2410434123368;0.157383684650773;1.2707662954843;;;
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201703;268556.010521468;944.253038805914;2709.29114755125;11.6743474075288;5.17080524981474;5.03172927606272;0.152901614545549;21.2379172536574;50.3490291811454;0.138634956530057;0.910025625754782;32010.6071584844;31.8842505343004;35.671374533703
"0-EU-ES-48-01-001-020-10";"Casco Viejo";"Bilbao";201704;269946.046054788;940.047177985244;2723.02585822054;11.6794621526693;5.14697814598134;5.06107748735314;0.137646186013314;18.4537214184619;44.8336729528937;0.11269259246622;0.816516223900137;;;
