Año;Mes;Distrito;Paro registrado
2013;Junio;07. Chamberí;7.698
2013;Junio;08. Fuencarral-El Pardo;13.696
2013;Junio;09. Moncloa-Aravaca;6.120
2013;Junio;10. Latina;20.050
2013;Junio;11. Carabanchel;23.173
2013;Junio;12. Usera;13.593
2013;Junio;13. Puente de Vallecas;25.826
2013;Junio;14. Moratalaz;7.408
2013;Junio;15. Ciudad Lineal;15.891
2013;Junio;16. Hortaleza;11.132
2013;Junio;17. Villaverde;15.884
2013;Junio;18. Villa de Vallecas;9.869
2013;Junio;19. Vicálvaro;6.179
2013;Junio;20. San Blas-Canillejas;12.573
2013;Junio;21. Barajas;2.793
2013;Julio;01. Centro;11.818
2013;Julio;02. Arganzuela;10.984
2013;Julio;03. Retiro;6.464
2013;Julio;04. Salamanca;7.703
2013;Julio;05. Chamartín;7.103
2013;Julio;06. Tetuán;12.189
2013;Julio;07. Chamberí;7.760
2013;Julio;08. Fuencarral-El Pardo;13.986
2013;Julio;09. Moncloa-Aravaca;6.154
2013;Julio;10. Latina;20.222
2013;Julio;11. Carabanchel;22.992
2013;Julio;12. Usera;13.321
2013;Julio;13. Puente de Vallecas;25.400
2013;Julio;14. Moratalaz;7.446
2013;Julio;15. Ciudad Lineal;15.943
2013;Julio;16. Hortaleza;11.186
2013;Julio;17. Villaverde;15.669
2013;Julio;18. Villa de Vallecas;9.849
2013;Julio;19. Vicálvaro;6.194
2013;Julio;20. San Blas-Canillejas;12.603
2013;Julio;21. Barajas;2.815
2013;Agosto;01. Centro;11.855
2013;Agosto;02. Arganzuela;11.080
2013;Agosto;03. Retiro;6.501
2013;Agosto;04. Salamanca;7.667
2013;Agosto;05. Chamartín;7.214
2013;Agosto;06. Tetuán;12.281
2013;Agosto;07. Chamberí;7.736
2013;Agosto;08. Fuencarral-El Pardo;14.016
2013;Agosto;09. Moncloa-Aravaca;6.263
2013;Agosto;10. Latina;20.345
2013;Agosto;11. Carabanchel;22.969
2013;Agosto;12. Usera;13.297
2013;Agosto;13. Puente de Vallecas;25.399
2013;Agosto;14. Moratalaz;7.472
2013;Agosto;15. Ciudad Lineal;15.911
2013;Agosto;16. Hortaleza;11.194
2013;Agosto;17. Villaverde;15.626
2013;Agosto;18. Villa de Vallecas;10.008
2013;Agosto;19. Vicálvaro;6.184
2013;Agosto;20. San Blas-Canillejas;12.656
2013;Agosto;21. Barajas;2.846
2013;Septiembre;01. Centro;11.636
2013;Septiembre;02. Arganzuela;10.928
2013;Septiembre;03. Retiro;6.495
2013;Septiembre;04. Salamanca;7.583
2013;Septiembre;05. Chamartín;7.068
2013;Septiembre;06. Tetuán;12.381
2013;Septiembre;07. Chamberí;7.630
2013;Septiembre;08. Fuencarral-El Pardo;13.697
2013;Septiembre;09. Moncloa-Aravaca;6.270
2013;Septiembre;10. Latina;20.326
2013;Septiembre;11. Carabanchel;23.140
2013;Septiembre;12. Usera;13.526
2013;Septiembre;13. Puente de Vallecas;25.860
2013;Septiembre;14. Moratalaz;7.543
2013;Septiembre;15. Ciudad Lineal;16.021
2013;Septiembre;16. Hortaleza;11.303
2013;Septiembre;17. Villaverde;15.866
2013;Septiembre;18. Villa de Vallecas;9.984
2013;Septiembre;19. Vicálvaro;6.241
2013;Septiembre;20. San Blas-Canillejas;12.743
2013;Septiembre;21. Barajas;2.821
2013;Octubre;01. Centro;11.512
2013;Octubre;02. Arganzuela;10.834
2013;Octubre;03. Retiro;6.509
2013;Octubre;04. Salamanca;7.576
2013;Octubre;05. Chamartín;7.041
2013;Octubre;06. Tetuán;12.606
2013;Octubre;07. Chamberí;7.628
2013;Octubre;08. Fuencarral-El Pardo;13.825
2013;Octubre;09. Moncloa-Aravaca;6.274
2013;Octubre;10. Latina;20.376
2013;Octubre;11. Carabanchel;23.609
2013;Octubre;12. Usera;13.737
2013;Octubre;13. Puente de Vallecas;26.242
2013;Octubre;14. Moratalaz;7.630
2013;Octubre;15. Ciudad Lineal;16.244
2013;Octubre;16. Hortaleza;11.439
2013;Octubre;17. Villaverde;16.113
2013;Octubre;18. Villa de Vallecas;10.029
2013;Octubre;19. Vicálvaro;6.280
2013;Octubre;20. San Blas-Canillejas;12.924
2013;Octubre;21. Barajas;2.855
2013;Noviembre;01. Centro;11.478
2013;Noviembre;02. Arganzuela;10.676
2013;Noviembre;03. Retiro;6.507
2013;Noviembre;04. Salamanca;7.512
2013;Noviembre;05. Chamartín;7.041
2013;Noviembre;06. Tetuán;12.524
2013;Noviembre;07. Chamberí;7.577
2013;Noviembre;08. Fuencarral-El Pardo;13.757
2013;Noviembre;09. Moncloa-Aravaca;6.150
2013;Noviembre;10. Latina;20.250
2013;Noviembre;11. Carabanchel;23.557
2013;Noviembre;12. Usera;13.772
2013;Noviembre;13. Puente de Vallecas;26.117
2013;Noviembre;14. Moratalaz;7.597
2013;Noviembre;15. Ciudad Lineal;16.177
2013;Noviembre;16. Hortaleza;11.310
2013;Noviembre;17. Villaverde;16.110
2013;Noviembre;18. Villa de Vallecas;9.982
2013;Noviembre;19. Vicálvaro;6.271
2013;Noviembre;20. San Blas-Canillejas;12.803
2013;Noviembre;21. Barajas;2.838
2013;Diciembre;01. Centro;11.183
2013;Diciembre;02. Arganzuela;10.440
2013;Diciembre;03. Retiro;6.306
2013;Diciembre;04. Salamanca;7.327
2013;Diciembre;05. Chamartín;6.831
2013;Diciembre;06. Tetuán;12.153
2013;Diciembre;07. Chamberí;7.416
2013;Diciembre;08. Fuencarral-El Pardo;13.366
2013;Diciembre;09. Moncloa-Aravaca;6.040
2013;Diciembre;10. Latina;19.631
2013;Diciembre;11. Carabanchel;22.873
2013;Diciembre;12. Usera;13.231
2013;Diciembre;13. Puente de Vallecas;25.288
2013;Diciembre;14. Moratalaz;7.386
2013;Diciembre;15. Ciudad Lineal;15.732
2013;Diciembre;16. Hortaleza;10.953
2013;Diciembre;17. Villaverde;15.657
2013;Diciembre;18. Villa de Vallecas;9.635
2013;Diciembre;19. Vicálvaro;6.113
2013;Diciembre;20. San Blas-Canillejas;12.481
2013;Diciembre;21. Barajas;2.794
2014;Enero;01. Centro;11.416
2014;Enero;02. Arganzuela;10.719
2014;Enero;03. Retiro;6.428
2014;Enero;04. Salamanca;7.403
2014;Enero;05. Chamartín;6.895
2014;Enero;06. Tetuán;12.312
2014;Enero;07. Chamberí;7.659
2014;Enero;08. Fuencarral-El Pardo;13.570
2014;Enero;09. Moncloa-Aravaca;6.087
2014;Enero;10. Latina;20.013
2014;Enero;11. Carabanchel;23.391
2014;Enero;12. Usera;13.512
2014;Enero;13. Puente de Vallecas;25.743
2014;Enero;14. Moratalaz;7.531
2014;Enero;15. Ciudad Lineal;15.885
2014;Enero;16. Hortaleza;11.091
2014;Enero;17. Villaverde;15.884
2014;Enero;18. Villa de Vallecas;9.842
2014;Enero;19. Vicálvaro;6.251
2014;Enero;20. San Blas-Canillejas;12.689
2014;Enero;21. Barajas;2.895
2014;Febrero;01. Centro;11.421
2014;Febrero;02. Arganzuela;10.694
2014;Febrero;03. Retiro;6.379
2014;Febrero;04. Salamanca;7.409
2014;Febrero;05. Chamartín;6.867
2014;Febrero;06. Tetuán;12.338
2014;Febrero;07. Chamberí;7.537
2014;Febrero;08. Fuencarral-El Pardo;13.664
2014;Febrero;09. Moncloa-Aravaca;6.079
2014;Febrero;10. Latina;20.092
2014;Febrero;11. Carabanchel;23.546
2014;Febrero;12. Usera;13.639
2014;Febrero;13. Puente de Vallecas;26.036
2014;Febrero;14. Moratalaz;7.541
2014;Febrero;15. Ciudad Lineal;16.063
2014;Febrero;16. Hortaleza;11.144
2014;Febrero;17. Villaverde;16.055
2014;Febrero;18. Villa de Vallecas;9.893
2014;Febrero;19. Vicálvaro;6.284
2014;Febrero;20. San Blas-Canillejas;12.801
2014;Febrero;21. Barajas;2.882
2014;Marzo;01. Centro;11.319
2014;Marzo;02. Arganzuela;10.508
2014;Marzo;03. Retiro;6.294
2014;Marzo;04. Salamanca;7.293
2014;Marzo;05. Chamartín;6.778
2014;Marzo;06. Tetuán;12.411
2014;Marzo;07. Chamberí;7.477
2014;Marzo;08. Fuencarral-El Pardo;13.641
2014;Marzo;09. Moncloa-Aravaca;6.044
2014;Marzo;10. Latina;20.010
2014;Marzo;11. Carabanchel;23.435
2014;Marzo;12. Usera;13.534
2014;Marzo;13. Puente de Vallecas;25.940
2014;Marzo;14. Moratalaz;7.553
2014;Marzo;15. Ciudad Lineal;16.113
2014;Marzo;16. Hortaleza;11.078
2014;Marzo;17. Villaverde;15.919
2014;Marzo;18. Villa de Vallecas;9.881
2014;Marzo;19. Vicálvaro;6.311
2014;Marzo;20. San Blas-Canillejas;12.698
2014;Marzo;21. Barajas;2.830
2014;Abril;01. Centro;11.011
2014;Abril;02. Arganzuela;10.282
2014;Abril;03. Retiro;6.154
2014;Abril;04. Salamanca;7.088
2014;Abril;05. Chamartín;6.595
2014;Abril;06. Tetuán;12.132
2014;Abril;07. Chamberí;7.235
2014;Abril;08. Fuencarral-El Pardo;13.425
2014;Abril;09. Moncloa-Aravaca;5.937
2014;Abril;10. Latina;19.636
2014;Abril;11. Carabanchel;22.912
2014;Abril;12. Usera;13.224
2014;Abril;13. Puente de Vallecas;25.596
2014;Abril;14. Moratalaz;7.356
2014;Abril;15. Ciudad Lineal;15.772
2014;Abril;16. Hortaleza;10.825
2014;Abril;17. Villaverde;15.567
2014;Abril;18. Villa de Vallecas;9.748
2014;Abril;19. Vicálvaro;6.154
2014;Abril;20. San Blas-Canillejas;12.544
2014;Abril;21. Barajas;2.712
2014;Mayo;01. Centro;10.714
2014;Mayo;02. Arganzuela;10.056
2014;Mayo;03. Retiro;5.996
2014;Mayo;04. Salamanca;6.889
2014;Mayo;05. Chamartín;6.408
2014;Mayo;06. Tetuán;11.768
2014;Mayo;07. Chamberí;7.064
2014;Mayo;08. Fuencarral-El Pardo;12.996
2014;Mayo;09. Moncloa-Aravaca;5.789
2014;Mayo;10. Latina;19.045
2014;Mayo;11. Carabanchel;22.063
2014;Mayo;12. Usera;12.796
2014;Mayo;13. Puente de Vallecas;24.923
2014;Mayo;14. Moratalaz;7.121
2014;Mayo;15. Ciudad Lineal;15.308
2014;Mayo;16. Hortaleza;10.494
2014;Mayo;17. Villaverde;15.129
2014;Mayo;18. Villa de Vallecas;9.370
2014;Mayo;19. Vicálvaro;6.038
2014;Mayo;20. San Blas-Canillejas;12.267
2014;Mayo;21. Barajas;2.644
2014;Junio;01. Centro;10.443
2014;Junio;02. Arganzuela;9.742
2014;Junio;03. Retiro;5.801
2014;Junio;04. Salamanca;6.695
2014;Junio;05. Chamartín;6.280
2014;Junio;06. Tetuán;11.477
2014;Junio;07. Chamberí;6.855
2014;Junio;08. Fuencarral-El Pardo;12.600
2014;Junio;09. Moncloa-Aravaca;5.657
2014;Junio;10. Latina;18.531
2014;Junio;11. Carabanchel;21.631
2014;Junio;12. Usera;12.441
2014;Junio;13. Puente de Vallecas;24.213
2014;Junio;14. Moratalaz;6.936
2014;Junio;15. Ciudad Lineal;14.974
2014;Junio;16. Hortaleza;10.365
2014;Junio;17. Villaverde;14.717
2014;Junio;18. Villa de Vallecas;9.161
2014;Junio;19. Vicálvaro;5.852
2014;Junio;20. San Blas-Canillejas;11.978
2014;Junio;21. Barajas;2.555
2014;Julio;01. Centro;10.575
2014;Julio;02. Arganzuela;10.048
2014;Julio;03. Retiro;5.945
2014;Julio;04. Salamanca;6.788
2014;Julio;05. Chamartín;6.460
2014;Julio;06. Tetuán;11.529
2014;Julio;07. Chamberí;7.057
2014;Julio;08. Fuencarral-El Pardo;12.864
2014;Julio;09. Moncloa-Aravaca;5.806
2014;Julio;10. Latina;18.641
2014;Julio;11. Carabanchel;21.666
2014;Julio;12. Usera;12.373
2014;Julio;13. Puente de Vallecas;24.104
2014;Julio;14. Moratalaz;7.055
2014;Julio;15. Ciudad Lineal;15.247
2014;Julio;16. Hortaleza;10.587
2014;Julio;17. Villaverde;14.640
2014;Julio;18. Villa de Vallecas;9.273
2014;Julio;19. Vicálvaro;5.939
2014;Julio;20. San Blas-Canillejas;12.088
2014;Julio;21. Barajas;2.648
2014;Agosto;01. Centro;10.644
2014;Agosto;02. Arganzuela;10.082
2014;Agosto;03. Retiro;6.098
2014;Agosto;04. Salamanca;6.867
