Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
CENTRO,1,alquiler,1600,65.0,False,False,False,True,3.0,True,True,,,dúplex,1
CENTRO,1,alquiler,950,45.0,False,False,False,False,4.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1690,47.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,4000,108.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1600,50.0,False,False,False,False,0.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1100,45.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,2,alquiler,1700,68.0,False,False,False,False,2.0,False,False,,,apartamento,1
CENTRO,1,alquiler,2555,80.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1450,70.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,5000,120.0,False,False,False,False,2.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1700,90.0,False,False,False,False,5.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1750,50.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1600,50.0,False,False,False,False,0.0,False,True,1900.0,,apartamento,1
CENTRO,1,alquiler,2140,46.0,False,False,False,False,6.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2100,91.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2950,81.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1300,45.0,False,False,False,False,0.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2120,56.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2700,90.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3110,73.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1650,70.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,3,alquiler,3750,80.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1700,75.0,False,False,False,False,2.0,True,True,1900.0,,apartamento,1
CENTRO,1,alquiler,1475,59.0,False,False,False,False,1.0,False,False,,,apartamento,1
CENTRO,2,alquiler,9600,280.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1850,39.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2600,53.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1100,35.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1880,69.0,False,False,False,False,5.0,False,True,,,apartamento,1
CENTRO,3,alquiler,2950,89.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2310,56.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2790,112.0,False,False,False,True,2.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1400,38.0,False,False,False,True,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2700,90.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2780,71.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,1,alquiler,3200,35.0,False,False,False,False,,False,True,,,apartamento,1
CENTRO,2,alquiler,2200,120.0,False,False,False,False,8.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1630,59.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,4445,168.0,False,False,False,False,2.0,True,True,,,apartamento,2
CENTRO,2,alquiler,1700,75.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1530,59.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1300,55.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2000,55.0,False,False,False,False,,True,True,,,apartamento,1
CENTRO,1,alquiler,2200,57.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1350,50.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,1,alquiler,1760,69.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1600,67.0,False,False,False,False,4.0,False,True,,,dúplex,1
CENTRO,3,alquiler,2500,110.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1600,50.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,1,alquiler,750,20.0,False,False,False,False,3.0,False,False,,,estudio,1
CENTRO,2,alquiler,1850,96.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2100,70.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1100,56.0,False,False,False,False,0.0,False,False,,,apartamento,1
CENTRO,3,alquiler,1900,70.0,False,False,False,False,4.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1475,70.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1700,75.0,False,False,False,False,4.0,True,False,,,apartamento,1
CENTRO,1,alquiler,2990,103.0,False,False,False,True,5.0,True,True,,,dúplex,1
CENTRO,4,alquiler,2500,65.0,False,False,False,False,,False,True,1880.0,,apartamento,1
CENTRO,1,alquiler,1200,30.0,False,False,False,True,0.0,False,True,,,apartamento,1
CENTRO,1,alquiler,950,25.0,False,False,False,False,0.0,False,False,,,apartamento,1
CENTRO,1,alquiler,1400,55.0,False,False,False,False,2.0,False,False,,,apartamento,1
