,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
55,0-EU-ES-28-07-001-079-01,Centro,Madrid,455411.13929012,1266.95358649696,5185.77677865244,19.5481629751288,4.52348733302984,4.37860541455141,0.0616547089702287,35.6304911953838,55.6429212715073,0.489398625234565,2.75422281074295,,,,2019,8,43.5,135971.0,15.8,8.7,2.0
56,0-EU-ES-28-07-001-079-01,Centro,Madrid,454949.577377121,1289.22318039575,5178.7084879191,19.1133871323277,4.42891593768959,4.38162660072241,0.0631398423761085,45.1839501383142,62.3780775981598,0.699215797415137,3.26529849376205,34772.3361437342,56.1640249306122,54.7085876922771,2019,9,43.5,135971.0,15.8,8.7,2.0
57,0-EU-ES-28-07-001-079-01,Centro,Madrid,450477.776941959,1317.43698364055,5146.31016612783,18.5817008606886,4.33282105295331,4.38185258148466,0.0629596504957451,48.0612466535654,58.009798384754,0.720742768494123,2.84683835115524,,,,2019,10,43.5,135971.0,15.8,8.7,2.0
58,0-EU-ES-28-07-001-079-01,Centro,Madrid,451590.192057675,1312.17837589723,5120.41384252024,18.5831412550595,4.35507171722972,4.38538020733355,0.0601098825390455,44.3992387287604,53.9637322767583,0.652380746336169,2.63800230352113,,,,2019,11,43.5,135971.0,15.8,8.7,2.0
59,0-EU-ES-28-07-001-079-01,Centro,Madrid,459196.384180091,1304.62880473487,5086.43356127889,18.6988730654616,4.4114697278995,4.39189288517081,0.0583234825748062,39.5799821451332,45.8945761685512,0.561073418185159,2.23461193446972,35832.1087370064,54.4331087212494,51.3584563624013,2019,12,43.5,135971.0,15.8,8.7,2.0
60,0-EU-ES-28-07-001-079-01,Centro,Madrid,469550.231823161,1296.24008885537,5103.19803441147,18.7472304265628,4.4083487178388,4.39892315114435,0.0546853368375186,49.785073437998,58.0358198693137,0.745297880687708,2.71243301138895,,,,2020,1,43.5,135719.0,15.8,8.5,2.0
61,0-EU-ES-28-07-001-079-01,Centro,Madrid,476986.140643949,1288.81810316335,5104.8548294175,18.5933421296276,4.37074340037582,4.40262674338152,0.0510238935370211,57.5704182912957,61.3646191880659,0.875307802119885,2.5882033777724,,,,2020,2,43.5,135719.0,15.8,8.5,2.0
62,0-EU-ES-28-07-001-079-01,Centro,Madrid,486411.556816153,1279.35039143165,5118.92778518162,18.7228643406721,4.38909047981606,4.40558726539703,0.0490851089560987,40.6473811750625,43.6951026416757,0.524832184781108,1.61081655762249,36928.4896294087,55.1716512997162,49.7608803707568,2020,3,43.5,135719.0,15.8,8.5,2.0
63,0-EU-ES-28-07-001-079-01,Centro,Madrid,499846.165281021,1280.35036372538,5114.93807455908,18.818490770396,4.41494864557512,4.40875387748318,0.0483557548086216,41.8175556164126,50.2994616091304,0.368876594644878,1.51860364828792,,,,2020,4,43.5,135719.0,15.8,8.5,2.0
64,0-EU-ES-28-07-001-079-01,Centro,Madrid,485400.366558741,1164.59938967664,5064.27323265504,18.7190841062431,4.43556259615857,4.41161671090836,0.0488388289894851,58.0118948342067,74.2592603057533,0.702947429172234,2.57317459567271,,,,2020,5,43.5,135719.0,15.8,8.5,2.0
