Ano,Distrito,Precio_venta,Precio_alquiler,Esperanza_vida,Renta_media_persona,Edad_media,Mayores_65anos%,Menores_18anos%,Tamano_vivienda_personas,Paro_registrado%,Apartamentos_turisticos,Superficie_distrito_ha,Densidad_poblacion,Zonas_verdes%
2012,SANBLASCANILLEJAS,2429.6666666666665,9.958333333333334,83.2,,,,,,,,2229.24,,0.07174193895677451
2012,BARAJAS,2957.0833333333335,10.316666666666666,84.2,,,,,,,,4171.65,,0.02343676962353026
2013,CENTRO,3289.8333333333335,13.408333333333333,83.4,,,,,,,,522.82,,0.06264106193336139
2013,ARGANZUELA,2777.5833333333335,11.174999999999999,85.8,,,,,,,,646.22,,0.1365633994614837
2013,RETIRO,3275.0,11.683333333333332,85.2,,,,,,,,546.62,,0.06516409937433683
2013,SALAMANCA,4073.9166666666665,13.625,85.1,,,,,,,,539.24,,0.05722869223351383
2013,CHAMARTIN,3954.9166666666665,12.299999999999999,85.0,,,,,,,,917.55,,0.05888507438286742
2013,TETUAN,2706.0833333333335,11.450000000000001,84.4,,,,,,,,537.47,,0.11915083632574842
2013,CHAMBERI,3707.3333333333335,13.366666666666667,84.5,,,,,,,,467.92,,0.02175585570182937
2013,FUENCARRALELPARDO,2854.75,10.041666666666666,84.4,,,,,,,,23783.84,,0.014479579411903207
2013,MONCLOAARAVACA,3082.25,10.975,84.2,,,,,,,,4653.11,,0.04265964054148731
2013,LATINA,1807.8333333333333,8.683333333333334,84.6,,,,,,,,2542.72,,0.10877328215454317
2013,CARABANCHEL,1808.0,8.816666666666666,84.2,,,,,,,,1404.83,,0.16386324323939552
2013,USERA,1672.75,8.466666666666667,83.5,,,,,,,,777.77,,0.21677359630739165
2013,PUENTEDEVALLECAS,1458.25,8.758333333333333,83.5,,,,,,,,1496.86,,0.1797028446214075
2013,MORATALAZ,1945.0,8.424999999999999,84.5,,,,,,,,610.32,,0.19126032245379473
2013,CIUDADLINEAL,2495.5833333333335,10.141666666666667,85.0,,,,,,,,1142.57,,0.11127545795881216
2013,HORTALEZA,2920.5,10.466666666666667,85.1,,,,,,,,2762.61,,0.11301269451714138
2013,VILLAVERDE,1443.8333333333333,7.858333333333333,83.6,,,,,,,,2018.76,,0.10653569517921892
2013,VILLADEVALLECAS,2091.6666666666665,8.841666666666667,83.5,,,,,,,,5146.72,,0.05397612459974508
2013,VICALVARO,1877.8333333333333,8.216666666666667,84.2,,,,,,,,3526.67,,0.04538559037278793
2013,SANBLASCANILLEJAS,2133.9166666666665,9.333333333333334,83.7,,,,,,,,2229.24,,0.07174193895677451
2013,BARAJAS,2672.4166666666665,9.791666666666666,84.5,,,,,,,,4171.65,,0.02343676962353026
2014,CENTRO,3278.0,13.491666666666667,83.3,,,,,,,,522.82,,0.06264106193336139
2014,ARGANZUELA,2684.3333333333335,11.058333333333332,85.9,,,,,,,,646.22,,0.1365633994614837
2014,RETIRO,3161.0833333333335,11.808333333333332,85.3,,,,,,,,546.62,,0.06516409937433683
2014,SALAMANCA,4083.9166666666665,13.733333333333334,85.2,,,,,,,,539.24,,0.05722869223351383
2014,CHAMARTIN,3881.6666666666665,12.350000000000001,85.1,,,,,,,,917.55,,0.05888507438286742
2014,TETUAN,2585.1666666666665,11.25,84.4,,,,,,,,537.47,,0.11915083632574842
2014,CHAMBERI,3585.75,13.366666666666667,84.5,,,,,,,,467.92,,0.02175585570182937
2014,FUENCARRALELPARDO,2750.5833333333335,9.941666666666666,84.6,,,,,,,,23783.84,,0.014479579411903207
2014,MONCLOAARAVACA,3017.9166666666665,11.166666666666666,84.4,,,,,,,,4653.11,,0.04265964054148731
2014,LATINA,1617.4166666666667,8.483333333333333,84.6,,,,,,,,2542.72,,0.10877328215454317
2014,CARABANCHEL,1651.9166666666667,8.366666666666667,84.2,,,,,,,,1404.83,,0.16386324323939552
2014,USERA,1500.5,8.283333333333333,83.5,,,,,,,,777.77,,0.21677359630739165
2014,PUENTEDEVALLECAS,1341.25,8.291666666666666,83.6,,,,,,,,1496.86,,0.1797028446214075
2014,MORATALAZ,1914.1666666666667,8.174999999999999,84.7,,,,,,,,610.32,,0.19126032245379473
2014,CIUDADLINEAL,2454.25,10.0,85.1,,,,,,,,1142.57,,0.11127545795881216
2014,HORTALEZA,2820.4166666666665,10.3,85.3,,,,,,,,2762.61,,0.11301269451714138
2014,VILLAVERDE,1246.75,7.533333333333334,83.8,,,,,,,,2018.76,,0.10653569517921892
2014,VILLADEVALLECAS,1984.25,8.883333333333333,83.8,,,,,,,,5146.72,,0.05397612459974508
2014,VICALVARO,1711.5,8.066666666666666,84.5,,,,,,,,3526.67,,0.04538559037278793
2014,SANBLASCANILLEJAS,2095.25,8.941666666666666,83.8,,,,,,,,2229.24,,0.07174193895677451
2014,BARAJAS,2569.8333333333335,9.549999999999999,84.7,,,,,,,,4171.65,,0.02343676962353026
2015,CENTRO,3423.8333333333335,14.049999999999999,83.4,15512.0,43.4,0.16399999999999998,0.09699999999999999,2.0,0.07641030781568071,33.0,522.82,248.05477984774873,0.06264106193336139
2015,ARGANZUELA,2709.75,11.575000000000001,84.6,16855.0,43.4,0.183,0.147,2.4,0.06207981095653332,3.0,646.22,232.4750085110334,0.1365633994614837
2015,RETIRO,3312.0833333333335,12.233333333333334,85.2,20900.0,46.1,0.247,0.14,2.5,0.045995804278956,1.0,546.62,215.39460685668288,0.06516409937433683
2015,SALAMANCA,4243.333333333333,14.341666666666667,84.8,23009.0,45.8,0.23800000000000002,0.128,2.3,0.0446851258646105,7.0,539.24,261.67198279059414,0.05722869223351383
2015,CHAMARTIN,3992.5,12.641666666666666,84.7,24155.0,44.7,0.22899999999999998,0.151,2.5,0.042656154914042295,6.0,917.55,152.8243692441829,0.05888507438286742
