Ano,Distrito,Esperanza_vida
2013,PUENTEDEVALLECAS,83.5
2013,MORATALAZ,84.5
2013,CIUDADLINEAL,85.0
2013,HORTALEZA,85.1
2013,VILLAVERDE,83.6
2013,VILLADEVALLECAS,83.5
2013,VICALVARO,84.2
2013,SANBLASCANILLEJAS,83.7
2013,BARAJAS,84.5
2014,CENTRO,83.3
2014,ARGANZUELA,85.9
2014,RETIRO,85.3
2014,SALAMANCA,85.2
2014,CHAMARTIN,85.1
2014,TETUAN,84.4
2014,CHAMBERI,84.5
2014,FUENCARRALELPARDO,84.6
2014,MONCLOAARAVACA,84.4
2014,LATINA,84.6
2014,CARABANCHEL,84.2
2014,USERA,83.5
2014,PUENTEDEVALLECAS,83.6
2014,MORATALAZ,84.7
2014,CIUDADLINEAL,85.1
2014,HORTALEZA,85.3
2014,VILLAVERDE,83.8
2014,VILLADEVALLECAS,83.8
2014,VICALVARO,84.5
2014,SANBLASCANILLEJAS,83.8
2014,BARAJAS,84.7
2015,CENTRO,83.4
2015,ARGANZUELA,84.6
2015,RETIRO,85.2
2015,SALAMANCA,84.8
2015,CHAMARTIN,84.7
2015,TETUAN,83.6
2015,CHAMBERI,84.1
2015,FUENCARRALELPARDO,84.7
2015,MONCLOAARAVACA,84.8
2015,LATINA,84.6
2015,CARABANCHEL,83.8
2015,USERA,83.5
2015,PUENTEDEVALLECAS,82.6
2015,MORATALAZ,84.6
2015,CIUDADLINEAL,84.8
2015,HORTALEZA,83.9
2015,VILLAVERDE,83.0
2015,VILLADEVALLECAS,83.5
2015,VICALVARO,84.9
2015,SANBLASCANILLEJAS,83.8
2015,BARAJAS,83.5
2016,CENTRO,83.7
2016,ARGANZUELA,85.6
2016,RETIRO,85.7
2016,SALAMANCA,85.8
2016,CHAMARTIN,85.7
2016,TETUAN,85.1
2016,CHAMBERI,85.4
2016,FUENCARRALELPARDO,85.2
2016,MONCLOAARAVACA,84.8
2016,LATINA,85.5
2016,CARABANCHEL,84.4
2016,USERA,83.9
2016,PUENTEDEVALLECAS,83.2
2016,MORATALAZ,84.6
2016,CIUDADLINEAL,85.6
2016,HORTALEZA,85.3
2016,VILLAVERDE,84.5
2016,VILLADEVALLECAS,84.4
2016,VICALVARO,84.0
2016,SANBLASCANILLEJAS,84.4
2016,BARAJAS,84.7
2017,CENTRO,83.7
2017,ARGANZUELA,84.8
2017,RETIRO,85.8
2017,SALAMANCA,85.4
2017,CHAMARTIN,85.5
2017,TETUAN,84.2
2017,CHAMBERI,85.2
2017,FUENCARRALELPARDO,85.1
2017,MONCLOAARAVACA,84.7
2017,LATINA,84.6
2017,CARABANCHEL,85.0
2017,USERA,84.1
2017,PUENTEDEVALLECAS,83.3
2017,MORATALAZ,85.5
2017,CIUDADLINEAL,85.2
2017,HORTALEZA,85.1
2017,VILLAVERDE,84.8
2017,VILLADEVALLECAS,84.1
2017,VICALVARO,84.2
2017,SANBLASCANILLEJAS,84.1
2017,BARAJAS,86.5
2018,CENTRO,84.5
2018,ARGANZUELA,85.6
2018,RETIRO,86.0
2018,SALAMANCA,85.9
2018,CHAMARTIN,86.1
2018,TETUAN,84.8
2018,CHAMBERI,85.2
2018,FUENCARRALELPARDO,85.4
2018,MONCLOAARAVACA,86.1
2018,LATINA,85.5
2018,CARABANCHEL,84.8
2018,USERA,84.4
2018,PUENTEDEVALLECAS,83.9
2018,MORATALAZ,85.3
2018,CIUDADLINEAL,85.8
2018,HORTALEZA,85.5
2018,VILLAVERDE,84.8
2018,VILLADEVALLECAS,83.9
2018,VICALVARO,84.9
2018,SANBLASCANILLEJAS,84.7
2018,BARAJAS,86.1
2019,CENTRO,84.6
2019,ARGANZUELA,86.3
2019,RETIRO,86.5
2019,SALAMANCA,86.2
2019,CHAMARTIN,86.7
2019,TETUAN,85.5
2019,CHAMBERI,86.0
2019,FUENCARRALELPARDO,85.6
2019,MONCLOAARAVACA,85.6
2019,LATINA,85.2
2019,CARABANCHEL,85.4
2019,USERA,84.9
2019,PUENTEDEVALLECAS,84.5
2019,MORATALAZ,86.1
2019,CIUDADLINEAL,86.6
2019,HORTALEZA,85.9
2019,VILLAVERDE,84.7
2019,VILLADEVALLECAS,84.3
2019,VICALVARO,84.7
2019,SANBLASCANILLEJAS,84.8
2019,BARAJAS,85.8
2020,CENTRO,82.7
2020,ARGANZUELA,82.4
2020,RETIRO,83.5
2020,SALAMANCA,83.8
2020,CHAMARTIN,83.0
2020,TETUAN,81.5
2020,CHAMBERI,83.7
2020,FUENCARRALELPARDO,82.7
2020,MONCLOAARAVACA,82.6
2020,LATINA,82.4
2020,CARABANCHEL,81.6
2020,USERA,81.5
2020,PUENTEDEVALLECAS,80.5
2020,MORATALAZ,82.5
2020,CIUDADLINEAL,82.9
2020,HORTALEZA,83.3
2020,VILLAVERDE,81.8
2020,VILLADEVALLECAS,80.6
2020,VICALVARO,81.9
2020,SANBLASCANILLEJAS,82.2
2020,BARAJAS,83.6
2021,CENTRO,83.6
2021,ARGANZUELA,85.1
2021,RETIRO,85.4
2021,SALAMANCA,85.6
2021,CHAMARTIN,85.8
2021,TETUAN,85.1
2021,CHAMBERI,85.3
2021,FUENCARRALELPARDO,85.9
2021,MONCLOAARAVACA,85.2
2021,LATINA,85.3
2021,CARABANCHEL,85.1
2021,USERA,84.4
2021,PUENTEDEVALLECAS,83.7
2021,MORATALAZ,84.5
2021,CIUDADLINEAL,85.3
2021,HORTALEZA,85.6
2021,VILLAVERDE,84.1
2021,VILLADEVALLECAS,84.6
2021,VICALVARO,85.6
2021,SANBLASCANILLEJAS,84.5
2021,BARAJAS,85.7
2022,CENTRO,84.7
2022,ARGANZUELA,85.7
2022,RETIRO,86.0
2022,SALAMANCA,86.1
2022,CHAMARTIN,86.0
2022,TETUAN,84.5
2022,CHAMBERI,85.6
2022,FUENCARRALELPARDO,85.7
2022,MONCLOAARAVACA,85.9
2022,LATINA,85.5
2022,CARABANCHEL,85.0
2022,USERA,84.7
2022,PUENTEDEVALLECAS,83.9
2022,MORATALAZ,85.6
2022,CIUDADLINEAL,86.0
2022,HORTALEZA,85.5
2022,VILLAVERDE,85.2
2022,VILLADEVALLECAS,84.4
2022,VICALVARO,84.6
2022,SANBLASCANILLEJAS,84.3
2022,BARAJAS,85.5
2023,CENTRO,85.2
2023,ARGANZUELA,85.9
2023,RETIRO,86.3
2023,SALAMANCA,86.9
2023,CHAMARTIN,86.4
2023,TETUAN,86.0
2023,CHAMBERI,86.2
2023,FUENCARRALELPARDO,86.1
2023,MONCLOAARAVACA,86.4
2023,LATINA,86.0
2023,CARABANCHEL,85.9
2023,USERA,84.8
2023,PUENTEDEVALLECAS,84.6
2023,MORATALAZ,86.4
2023,CIUDADLINEAL,86.9
2023,HORTALEZA,86.4
2023,VILLAVERDE,85.9
2023,VILLADEVALLECAS,85.0
2023,VICALVARO,85.9
2023,SANBLASCANILLEJAS,85.6
2023,BARAJAS,86.4
2024,CENTRO,86.9
2024,ARGANZUELA,86.1
2024,RETIRO,86.8
2024,SALAMANCA,84.5
2024,CHAMARTIN,86.8
2024,TETUAN,85.2
2024,CHAMBERI,86.5
2024,FUENCARRALELPARDO,84.3
2024,MONCLOAARAVACA,84.7
2024,LATINA,84.5
2024,CARABANCHEL,82.8
2024,USERA,84.2
2024,PUENTEDEVALLECAS,82.3
2024,MORATALAZ,82.5
2024,CIUDADLINEAL,88.4
2024,HORTALEZA,89.4
2024,VILLAVERDE,88.8
2024,VILLADEVALLECAS,88.8
2024,VICALVARO,87.7
2024,SANBLASCANILLEJAS,88.1
2024,BARAJAS,88.1
