Ano,Distrito,Precio_venta,Precio_alquiler,Esperanza_vida,Renta_media_persona,Edad_media,Poblacion,Mayores_65anos%,Menores_18anos%,Tamano_vivienda_personas,Paro_registrado%,Apartamentos_turisticos
2011,CENTRO,3860.8,15.01,83.2,,,,,,,,
2011,ARGANZUELA,3381.3,11.99,84.6,,,,,,,,
2011,RETIRO,3762.1,12.709999999999999,85.2,,,,,,,,
2011,SALAMANCA,4546.6,14.8,84.8,,,,,,,,
2011,CHAMARTIN,4507.0,13.559999999999999,84.9,,,,,,,,
2011,TETUAN,3279.7,12.48,84.0,,,,,,,,
2011,CHAMBERI,4301.2,14.52,84.3,,,,,,,,
2011,FUENCARRALELPARDO,3347.8,10.81,84.1,,,,,,,,
2011,MONCLOAARAVACA,3573.1,12.18,83.8,,,,,,,,
2011,LATINA,2317.4,9.48,84.4,,,,,,,,
2011,CARABANCHEL,2337.4,9.85,83.1,,,,,,,,
2011,USERA,2234.1,9.92,82.2,,,,,,,,
2011,PUENTEDEVALLECAS,2104.8,9.82,82.8,,,,,,,,
2011,MORATALAZ,2465.2,9.11,84.0,,,,,,,,
2011,CIUDADLINEAL,3117.9,11.17,83.8,,,,,,,,
2011,HORTALEZA,3431.4,11.540000000000001,83.9,,,,,,,,
2011,VILLAVERDE,1967.6,8.95,83.6,,,,,,,,
2011,VILLADEVALLECAS,2512.5,9.95,83.5,,,,,,,,
2011,VICALVARO,2430.1,8.879999999999999,84.4,,,,,,,,
2011,SANBLASCANILLEJAS,2713.3,10.540000000000001,83.6,,,,,,,,
2011,BARAJAS,3155.5,10.790000000000001,83.8,,,,,,,,
2012,CENTRO,3571.1666666666665,14.258333333333333,83.1,,,,,,,,
2012,ARGANZUELA,3085.5,11.591666666666667,84.6,,,,,,,,
2012,RETIRO,3485.9166666666665,12.366666666666667,84.9,,,,,,,,
2012,SALAMANCA,4247.5,14.183333333333332,85.2,,,,,,,,
