Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,Cluster_DP_GMM
CENTRO,1,0,1700,40.0,0,0,0,0,6.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,3180,120.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,6,0,11000,557.0,0,0,0,0,2.0,1,1,,,0,1,1,12,2,7
CENTRO,2,0,3150,86.0,0,0,0,0,5.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,1450,78.0,0,1,0,0,3.0,0,1,,,0,1,5,18,0,12
CENTRO,2,0,4750,85.0,0,0,1,1,20.0,1,1,,,0,2,1,12,-1,9
CENTRO,1,0,1600,65.0,0,0,0,1,3.0,1,1,,,2,1,4,4,0,3
CENTRO,1,0,950,45.0,0,0,0,0,4.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1690,47.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,4000,108.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1600,50.0,0,0,0,0,0.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1100,45.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,2,0,1700,68.0,0,0,0,0,2.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,2555,80.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1450,70.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,5000,120.0,0,0,0,0,2.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1700,90.0,0,0,0,0,5.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,1750,50.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1600,50.0,0,0,0,0,0.0,0,1,1900.0,,0,1,1,15,1,6
CENTRO,1,0,2140,46.0,0,0,0,0,6.0,1,1,,,0,1,1,8,2,0
CENTRO,1,0,2100,91.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2950,81.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1300,45.0,0,0,0,0,0.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2120,56.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2700,90.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,3110,73.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1650,70.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,3750,80.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1700,75.0,0,0,0,0,2.0,1,1,1900.0,,0,1,1,0,2,0
CENTRO,1,0,1475,59.0,0,0,0,0,1.0,0,0,,,0,1,3,3,3,8
CENTRO,2,0,9600,280.0,0,0,0,0,2.0,1,1,,,0,1,1,8,2,10
CENTRO,1,0,1850,39.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2600,53.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,35.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1880,69.0,0,0,0,0,5.0,0,1,,,0,1,1,15,1,6
CENTRO,3,0,2950,89.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2310,56.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2790,112.0,0,0,0,1,2.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1400,38.0,0,0,0,1,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2700,90.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2780,71.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,3200,35.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,2,0,2200,120.0,0,0,0,0,8.0,1,1,,,0,1,1,8,2,10
CENTRO,1,0,1630,59.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,4445,168.0,0,0,0,0,2.0,1,1,,,0,2,1,13,-1,13
CENTRO,2,0,1700,75.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1530,59.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1300,55.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2000,55.0,0,0,0,0,2.963552021206097,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2200,57.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1350,50.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1760,69.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1600,67.0,0,0,0,0,4.0,0,1,,,2,1,4,5,0,17
CENTRO,3,0,2500,110.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,1600,50.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,750,20.0,0,0,0,0,3.0,0,0,,,3,1,2,5,0,17
CENTRO,2,0,1850,96.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2100,70.0,0,0,0,0,0.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1100,56.0,0,0,0,0,0.0,0,0,,,0,1,3,3,3,8
CENTRO,3,0,1900,70.0,0,0,0,0,4.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1475,70.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1700,75.0,0,0,0,0,4.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,2990,103.0,0,0,0,1,5.0,1,1,,,2,1,4,4,0,3
CENTRO,4,0,2500,65.0,0,0,0,0,2.963552021206097,0,1,1880.0,,0,1,1,15,1,6
CENTRO,1,0,1200,30.0,0,0,0,1,0.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,950,25.0,0,0,0,0,0.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1400,55.0,0,0,0,0,2.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1390,50.0,0,0,0,0,2.0,0,0,,,0,1,3,3,3,8
CENTRO,1,0,1300,65.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1150,67.0,0,0,0,0,1.0,0,1,,,0,1,1,15,1,6
